,Kp_actual,Ki_actual,Kd_actual,Kp_pred,Ki_pred,Kd_pred,Kp_error,Ki_error,Kd_error
0,20.0,100.0,2.0,18.001228,105.96153,3.0937445,1.9987716674804688,5.9615325927734375,1.0937445163726807
1,100.0,0.0,1.0,99.13591,4.7372055,1.0138236,0.8640899658203125,4.737205505371094,0.013823628425598145
2,20.0,20.0,4.0,15.119453,10.683281,3.3825552,4.880546569824219,9.316719055175781,0.6174447536468506
3,50.0,80.0,1.5,52.859703,103.62604,3.0136313,2.8597030639648438,23.62603759765625,1.5136313438415527
4,30.0,0.0,0.5,31.182764,8.775063,2.0631528,1.1827640533447266,8.775062561035156,1.56315279006958
5,100.0,20.0,2.0,101.44525,12.986984,1.7077692,1.44525146484375,7.0130157470703125,0.29223084449768066
6,40.0,80.0,2.0,43.061707,88.006256,3.2155871,3.06170654296875,8.006256103515625,1.2155871391296387
7,60.0,80.0,0.5,62.14314,142.18953,2.3840966,2.143138885498047,62.18952941894531,1.884096622467041
8,100.0,160.0,1.5,97.738266,147.38268,1.2540029,2.2617340087890625,12.617324829101562,0.24599707126617432
9,70.0,40.0,2.5,71.7433,41.006607,3.053001,1.7433013916015625,1.0066070556640625,0.5530009269714355
10,40.0,100.0,1.0,40.518684,124.223045,2.1078393,0.5186843872070312,24.223045349121094,1.1078393459320068
11,30.0,200.0,4.0,31.342388,162.40399,2.6842337,1.3423881530761719,37.59600830078125,1.3157663345336914
12,100.0,20.0,5.0,102.63495,26.752014,5.215787,2.63494873046875,6.75201416015625,0.21578693389892578
13,20.0,80.0,3.5,19.13678,71.89662,3.035252,0.86322021484375,8.103378295898438,0.46474790573120117
14,70.0,60.0,2.5,72.32155,64.24623,3.448756,2.3215484619140625,4.2462310791015625,0.9487559795379639
15,40.0,200.0,0.5,46.406868,199.29088,0.45238686,6.406867980957031,0.7091217041015625,0.04761314392089844
16,30.0,160.0,0.0,26.550224,168.24307,-0.16075039,3.4497756958007812,8.243072509765625,0.1607503890991211
17,90.0,20.0,4.0,92.399345,24.276375,4.45455,2.3993453979492188,4.276374816894531,0.45454978942871094
18,50.0,0.0,0.5,51.572166,1.9549713,0.4907565,1.5721664428710938,1.9549713134765625,0.009243488311767578
19,70.0,120.0,4.5,70.45855,106.83444,4.2900453,0.45854949951171875,13.165557861328125,0.20995473861694336
20,30.0,40.0,1.0,41.133686,52.384182,3.7856646,11.133686065673828,12.38418197631836,2.7856645584106445
21,60.0,160.0,5.0,59.24167,120.04892,3.097899,0.758331298828125,39.951080322265625,1.9021010398864746
22,90.0,140.0,3.0,89.30267,165.70224,3.3416936,0.69732666015625,25.702239990234375,0.341693639755249
23,70.0,180.0,4.0,71.090126,152.33412,3.2836874,1.0901260375976562,27.665878295898438,0.7163126468658447
24,70.0,60.0,4.5,66.2544,63.08658,3.2864146,3.7455978393554688,3.086578369140625,1.213585376739502
25,30.0,20.0,1.5,33.19879,19.212234,2.8994317,3.19879150390625,0.7877655029296875,1.3994317054748535
26,60.0,160.0,0.0,58.732742,183.51065,0.48813415,1.2672576904296875,23.510650634765625,0.48813414573669434
27,30.0,80.0,1.0,32.129284,111.61641,2.8744433,2.129283905029297,31.616409301757812,1.8744432926177979
28,40.0,160.0,1.5,39.319588,142.30392,0.7628523,0.6804122924804688,17.696075439453125,0.7371476888656616
29,100.0,80.0,3.0,96.855286,74.8949,2.7463202,3.14471435546875,5.1051025390625,0.2536797523498535
30,20.0,140.0,0.5,17.892124,153.63306,0.3159039,2.1078758239746094,13.633056640625,0.184096097946167
31,30.0,120.0,3.5,26.16603,102.324295,2.5065033,3.8339691162109375,17.675704956054688,0.9934966564178467
32,60.0,160.0,4.5,59.439808,129.43152,3.1790903,0.5601921081542969,30.5684814453125,1.3209097385406494
33,50.0,120.0,4.5,48.023205,98.61828,3.2111337,1.9767951965332031,21.38172149658203,1.2888662815093994
34,40.0,120.0,5.0,37.260258,105.98383,3.476396,2.7397422790527344,14.016166687011719,1.523603916168213
35,80.0,80.0,3.0,79.54472,86.26729,3.4669938,0.4552764892578125,6.2672882080078125,0.4669938087463379
36,80.0,140.0,2.0,79.66502,166.5954,2.4052718,0.3349761962890625,26.59539794921875,0.4052717685699463
37,40.0,120.0,2.5,38.247406,132.26187,2.950695,1.752593994140625,12.261871337890625,0.4506950378417969
38,70.0,80.0,2.5,70.45633,94.16355,3.2813635,0.456329345703125,14.163551330566406,0.7813634872436523
39,50.0,180.0,5.0,46.9022,142.55759,3.0186596,3.0978012084960938,37.442413330078125,1.9813404083251953
40,50.0,60.0,3.5,48.80314,61.12153,3.381111,1.1968612670898438,1.1215286254882812,0.11888909339904785
41,60.0,100.0,4.5,59.47769,90.25557,3.8911972,0.522308349609375,9.744430541992188,0.6088027954101562
42,80.0,0.0,0.0,80.49343,-1.9445801,0.07196307,0.49343109130859375,1.944580078125,0.07196307182312012
43,100.0,120.0,2.0,97.57237,143.44415,2.2123225,2.4276275634765625,23.44415283203125,0.21232247352600098
44,100.0,100.0,1.5,98.21979,134.60127,1.8623451,1.78021240234375,34.60127258300781,0.3623450994491577
45,100.0,0.0,2.0,97.8716,7.2823334,1.8392013,2.1284027099609375,7.2823333740234375,0.16079866886138916
46,20.0,200.0,1.5,19.308704,205.90274,2.3570292,0.6912956237792969,5.902740478515625,0.8570291996002197
47,90.0,60.0,2.5,91.16985,56.260258,2.5851445,1.1698532104492188,3.7397422790527344,0.0851445198059082
48,100.0,80.0,3.5,97.221146,75.438705,3.3457203,2.7788543701171875,4.5612945556640625,0.1542797088623047
49,50.0,40.0,3.0,45.555283,32.36944,2.4585397,4.4447174072265625,7.630561828613281,0.5414602756500244
50,40.0,140.0,5.0,35.785316,126.29621,3.4237452,4.214683532714844,13.703788757324219,1.5762548446655273
51,60.0,20.0,0.0,56.578236,39.79027,0.8720046,3.421764373779297,19.790271759033203,0.8720046281814575
52,30.0,40.0,2.0,37.437912,59.886887,4.032028,7.4379119873046875,19.886886596679688,2.0320281982421875
53,20.0,20.0,0.5,25.873554,24.503357,3.2026062,5.873554229736328,4.50335693359375,2.702606201171875
54,40.0,180.0,2.0,39.87123,178.4616,2.103773,0.1287689208984375,1.5384063720703125,0.10377311706542969
55,100.0,40.0,3.5,100.582535,37.88072,3.427692,0.5825347900390625,2.119281768798828,0.07230806350708008
56,70.0,160.0,0.5,75.948784,161.28426,0.60499454,5.948783874511719,1.2842559814453125,0.10499453544616699
57,50.0,0.0,2.5,49.565456,7.794777,3.1851118,0.4345436096191406,7.794776916503906,0.6851117610931396
58,30.0,160.0,1.0,30.5064,159.81482,0.59999156,0.5063991546630859,0.1851806640625,0.4000084400177002
59,50.0,160.0,2.5,50.538376,153.5408,2.358582,0.5383758544921875,6.459197998046875,0.1414179801940918
60,100.0,80.0,0.0,95.3573,97.09632,0.512262,4.6427001953125,17.09632110595703,0.5122619867324829
61,70.0,60.0,4.0,68.268196,63.467407,3.3478322,1.7318038940429688,3.4674072265625,0.652167797088623
62,40.0,160.0,3.5,38.676277,146.7623,2.6634915,1.3237228393554688,13.237701416015625,0.8365085124969482
