Kp,Ki,Kd,RiseTime,Overshoot,SettlingTime
20,0,0,0.327076902785752,2.00268654062057,1.69237218119544
20,0,0.5,0.32876405955917,0.750086614055934,1.49865125440496
20,0,1,0.34245529246605,0.10835749767435,1.54895035492392
20,0,1.5,0.349985389602621,0.00473583585096637,1.60339310340068
20,0,2,0.352131799081699,0.00467986724339564,1.65531662236927
20,0,2.5,0.349271521754102,0.00580731880552854,1.69750165882982
20,0,3,0.34232255413144,0.00828270373753881,1.72884128820559
20,0,3.5,0.329473863290679,0.00846269782466269,1.75343064292463
20,0,4,0.310974183850311,0.00967124953088483,1.76875364712994
20,0,4.5,0.285971065826204,0.00887603067574183,1.77642058787349
20,0,5,0.256150684734601,0.01272202277387,1.77468154725787
20,20,0,1.007814834867,0,3.72051228686442
20,20,0.5,1.04854791871078,0,3.72104633039206
20,20,1,1.10048580615773,0,3.72178752653892
20,20,1.5,1.15055619522749,0,3.72208134553478
20,20,2,1.19808294047174,0,3.7246758590416
20,20,2.5,1.24371973360004,0,3.72659432040082
20,20,3,1.28719337766555,0,3.72953236677276
20,20,3.5,1.3292851814339,0,3.73491996996444
20,20,4,1.37074647808997,0,3.7411795856192
20,20,4.5,1.41116433711428,0,3.75221301929425
20,20,5,1.45063871886319,0,3.76415774797419
20,40,0,0.401413992478355,1.69925841766374,1.5867435477542
20,40,0.5,0.439772869968403,1.06367270728203,1.66900301120835
20,40,1,0.493236215379447,1.12096217439981,1.75320671437161
20,40,1.5,0.542878715337884,1.31883157354706,1.82470791708561
20,40,2,0.587806706796189,1.52226542658673,1.88555500045683
20,40,2.5,0.629011230368159,1.71713203476382,1.9385376723565
20,40,3,0.66626879504636,1.90222605087882,1.98661298619836
20,40,3.5,0.701040066346112,2.07653231566496,2.79168441377618
20,40,4,0.73322700919662,2.24838061722206,2.97771365210916
20,40,4.5,0.763502058930948,2.40998268301269,3.12200180027447
20,40,5,0.792287075821667,2.56631949302877,3.25617925268577
20,60,0,0.323945068134867,12.6861958311346,2.23208751982067
20,60,0.5,0.346758823550494,10.5179995245112,2.33451195856211
20,60,1,0.37933352093189,9.16023818407481,2.43180855873812
20,60,1.5,0.411093939668387,8.30341982830534,2.51987437662951
20,60,2,0.440078976726251,7.73224034923161,2.60103068144234
20,60,2.5,0.467859736649925,7.36079270833465,2.67617328002838
20,60,3,0.494227890199615,7.08001368658298,2.74756461406251
20,60,3.5,0.519414499068173,6.8826253269082,2.81559950234216
20,60,4,0.543108262128952,6.73828374680743,2.8818888117206
20,60,4.5,0.565901807977081,6.63560453311201,2.94738421241604
20,60,5,0.587209788719252,6.56742971494784,3.01291010736389
20,80,0,0.289400919575587,21.4835992337534,2.58709821915112
20,80,0.5,0.300163944278017,18.8357550824779,2.64679348779885
20,80,1,0.32590143128277,16.5428886938961,2.26310800549808
20,80,1.5,0.34871851095881,14.9073553989216,2.33364327117516
20,80,2,0.37023847126331,13.694364223629,2.40062044242179
20,80,2.5,0.390463461650482,12.7497160852343,2.46359499133899
20,80,3,0.409965519272553,12.030698291484,2.5227003257999
20,80,3.5,0.429500389512514,11.4324266779368,2.57772218685674
20,80,4,0.4482064307747,10.9127701096724,2.62905080416212
20,80,4.5,0.466471854410505,10.4581408448485,3.30464569618862
20,80,5,0.484746373505484,10.0511516879414,3.45886225509437
20,100,0,0.263512771861675,30.1853665727154,2.5969394574021
20,100,0.5,0.270724198819616,26.1690669126762,2.68480085350896
20,100,1,0.292245820619649,23.0693406879463,2.77229740878602
20,100,1.5,0.311091348480015,20.7049577897713,2.85587170437694
20,100,2,0.327843201020935,18.9079252779752,2.93436244157004
20,100,2.5,0.343544063935072,17.5144214851129,3.00601349042601
20,100,3,0.358886026309545,16.4424137467248,3.073357004601
20,100,3.5,0.373420876438587,15.5847772991477,3.13856910849468
20,100,4,0.387528798648929,14.8694478009154,3.20291409320698
20,100,4.5,0.401796023556716,14.2015938816881,3.27040601423945
20,100,5,0.415832096822614,13.6469310816689,3.34102089451543
20,120,0,0.243174480426565,37.1861799791001,3.03105306667723
20,120,0.5,0.249885934145559,32.7953913380243,3.10628874965411
20,120,1,0.268492452912252,28.9851887282896,3.1602576464522
20,120,1.5,0.284589544104445,25.9700896060775,2.75293509243934
20,120,2,0.298794262664715,23.545111935842,2.83007050100313
20,120,2.5,0.312361927434831,21.6081984291254,2.90292856001931
20,120,3,0.325137602946366,20.1209226622361,2.96984033029502
20,120,3.5,0.337045539557983,18.9756446875115,3.03063911607549
20,120,4,0.348273563503769,18.0332565086412,3.08595584248247
20,120,4.5,0.359095899713702,17.2893154835066,3.13728385964385
20,120,5,0.369787762548151,16.6535713228346,3.18672172540328
20,140,0,0.22978373382689,42.3286711815537,3.45003936998897
20,140,0.5,0.233205346828637,38.5585656837738,3.06018868990842
20,140,1,0.249715033818181,34.4147320968675,3.14944265583395
20,140,1.5,0.263861605337718,30.9981159511912,3.2299905677165
20,140,2,0.27656458249396,28.0099967399088,3.29658002226722
20,140,2.5,0.288345154562377,25.5041499907328,3.35163030709334
20,140,3,0.29958034571062,23.5446748714499,3.39848219329605
20,140,3.5,0.31026296636488,21.8206269315684,3.44581730608784
20,140,4,0.320629887331972,20.6011620107327,3.50361460289948
20,140,4.5,0.330408232224649,19.5552669481122,3.58750712233177
20,140,5,0.339458378230468,18.7755657515986,3.68896691545969
20,160,0,0.219509111389758,48.3669531067083,3.74043761968783
20,160,0.5,0.220748014700983,43.4667185138751,3.50575982885383
20,160,1,0.235511138957581,39.1046471153669,3.56065544684138
20,160,1.5,0.247513336920572,35.3712935356206,3.56916936221153
20,160,2,0.257910576614186,32.348451064334,3.23013101464686
20,160,2.5,0.267987250147414,29.530079582945,3.30164376173615
20,160,3,0.278067828551853,27.1521059130893,3.36064079102869
20,160,3.5,0.288084178681352,24.9566057043945,3.41067140316987
20,160,4,0.297923612298658,23.2085799779461,3.45657233721497
20,160,4.5,0.307379813934591,21.7374611775066,3.50483458959399
20,160,5,0.316274416894589,20.4949678859602,3.5613647071074
20,180,0,0.209818382470133,55.4187479982991,4.21523880902802
20,180,0.5,0.210154833539961,48.2108145407185,4.33453779180386
20,180,1,0.224655294794653,42.71846677394,3.52592551852087
20,180,1.5,0.235672043852057,38.9839711188561,3.59153772407473
20,180,2,0.244466204012009,35.909947905484,3.63594050035716
20,180,2.5,0.252259427119492,33.1619602066793,3.6656292333507
20,180,3,0.260038638167878,30.7437631518624,3.6737442689604
20,180,3.5,0.268170672037875,28.3518233957874,3.34556366023114
20,180,4,0.276855459293755,26.2659747195095,3.86694889326346
20,180,4.5,0.286045318140968,24.3509167919914,4.02173389130651
20,180,5,0.295186659124289,22.6306737531386,4.15203542294777
